,표준ID,정류장명,ARS-ID,X좌표,Y좌표,epsg5179_x,epsg5179_y
0,100000001,종로2가사거리,1001,126.9877499,37.56976513,1952389.593,954764.1786
1,100000002,창경궁.서울대학교병원,1002,126.996566,37.57918302,1953430.255,955548.3152
2,100000003,명륜3가.성대입구,1003,126.9983401,37.58267117,1953816.41,955707.0305
3,100000004,종로2가.삼일교,1004,126.9876131,37.56857927,1952258.093,954751.3806
4,100000005,혜화동로터리.여운형활동터,1005,127.001744,37.586243,1954211.089,956009.6743
5,100000006,경기상고,1101,126.9693635,37.58755022,1954371.776,953151.6441
6,100000007,신교동,1102,126.9702654,37.58326577,1953895.986,953228.5901
7,100000008,경기상고,1103,126.9697701,37.58719079,1954331.696,953187.3167
8,100000009,경복고교,1104,126.9710437,37.58511319,1954100.562,953298.4625
9,100000010,청운중학교,1105,126.9725135,37.58785196,1954403.686,953429.9384
10,100000011,자하문고개.윤동주문학관,1106,126.9671262,37.59218662,1954887.282,952957.0362
11,100000012,자하문고개.윤동주문학관,1107,126.9671907,37.59233532,1954903.748,952962.824
12,100000013,청운중학교,1108,126.9724613,37.58812858,1954434.402,953425.5022
13,100000014,경복고교,1109,126.9711547,37.58496634,1954084.214,953308.1711
14,100000015,통인시장종로구보건소,1110,126.97105,37.5803257,1953569.409,953296.028
15,100000016,통인시장종로구보건소,1111,126.9713851,37.58051321,1953590.046,953325.7331
16,100000017,효자동,1112,126.970621,37.58309104,1953876.424,953259.8778
17,100000018,사직단.어린이도서관,1113,126.9679907,37.57513553,1952995.109,953022.6425
18,100000019,사직동주민센터,1114,126.9713245,37.57618346,1953109.71,953317.6792
19,100000020,경복궁역,1115,126.972196,37.57686669,1953185.079,953395.0595
20,100000021,경복궁역,1116,126.9722829,37.57767139,1953274.313,953403.2343
21,100000022,경복궁,1117,126.9787471,37.57557679,1953038.741,953972.73
22,100000023,KT광화문지사,1118,126.9773193,37.57240648,1952687.71,953844.6959
23,100000025,광화문,1120,126.9763839,37.5698454,1952404.031,953760.5115
24,100000028,서울역사박물관.경교장.강북삼성병원,1123,126.971248,37.570023,1952426.274,953307.078
25,100000029,광화문.금호아시아나본관앞,1124,126.9731336,37.57028804,1952454.744,953473.7573
26,100000030,광화문,1125,126.975837,37.570365,1952461.947,953712.5371
27,100000031,세종문화회관,1126,126.9765653,37.57265774,1952715.957,953778.2688
28,100000032,서울지방경찰청.경복궁역,1127,126.9714843,37.57574466,1953060.948,953331.5159
29,100000033,사직단,1128,126.968189,37.57485535,1952963.925,953039.9769
30,100000034,광화문광화문빌딩,1129,126.9765459,37.56945075,1952360.167,953774.5736
31,100000035,덕성여중고,1130,126.982017,37.57590175,1953073.197,954261.667
32,100000036,안국역.종로경찰서.인사동,1131,126.9839958,37.57606956,1953090.853,954436.5001
33,100000037,국민은행세검정지점,1132,126.960888,37.60466298,1956274.625,952414.2603
34,100000038,세검정초등학교,1133,126.9612198,37.60250228,1956034.736,952442.1719
35,100000039,세검정.상명대,1134,126.9587224,37.6007326,1955839.665,952220.5943
36,100000040,상명대입구.석파랑,1135,126.9585702,37.59941335,1955693.377,952206.3154
37,100000041,하림각,1136,126.9617068,37.59813307,1955549.744,952482.3807
38,100000042,자하문터널입구.석파정,1137,126.9636435,37.59559351,1955267.012,952651.7342
39,100000043,부암동주민센터.무계원,1138,126.9639574,37.59273806,1954950.054,952677.6365
40,100000044,부암동주민센터.무계원,1139,126.9651419,37.59278617,1954954.796,952782.2365
41,100000045,자하문터널입구.석파정,1140,126.9639776,37.59555757,1955262.857,952681.2052
42,100000046,하림각,1141,126.9622153,37.59814765,1955551.104,952527.2779
43,100000047,상명대입구.세검정교회,1142,126.9592406,37.59961633,1955715.556,952265.6238
44,100000048,세검정.상명대,1143,126.9589343,37.60055246,1955819.572,952239.1841
45,100000049,세검정초등학교,1144,126.9614329,37.60226807,1956008.643,952460.8333
46,100000051,국민은행세검정지점,1146,126.9612088,37.60471919,1956280.698,952442.6123
47,100000053,승가사입구,1148,126.956306,37.61158441,1957044.862,952014.2653
48,100000054,구기동현대빌라,1149,126.9564576,37.6100355,1956872.939,952026.6505
49,100000055,구기터널.삼성출판박물관,1150,126.9562103,37.60860989,1956714.899,952003.9073
50,100000056,구기터널.삼성출판박물관,1151,126.9564167,37.6083054,1956681.012,952021.9292
51,100000057,구기동,1152,126.9585298,37.60696445,1956531.161,952207.5803
52,100000058,구기동,1153,126.9591017,37.6070088,1956535.791,952258.0873
53,100000059,승가사입구,1154,126.956482,37.61148,1957033.188,952029.7319
54,100000060,갑을씨티텔앞,1155,126.963535,37.60437097,1956240.889,952647.7194
55,100000061,평창파출소,1156,126.9660433,37.60532237,1956345.181,952869.7221
56,100000062,평창동주민센터,1157,126.9695663,37.60660737,1956485.984,953181.4913
57,100000063,일성아파트,1158,126.9729985,37.60876631,1956723.803,953485.7797
58,100000064,롯데아파트,1159,126.9764662,37.61042956,1956906.622,953792.8771
59,100000065,롯데아파트,1160,126.976652,37.610248,1956886.387,953809.1637
60,100000066,벽산평창힐스아파트,1161,126.972797,37.60819,1956659.964,953467.6357
61,100000067,예능교회,1162,126.97,37.606517,1956475.741,953219.7153
62,100000068,서울예술고등학교.평창동주민센터,1163,126.9676276,37.60577876,1956395.022,953009.8502
63,100000069,화정박물관,1164,126.9648103,37.60450382,1956254.986,952760.3715
64,100000072,독립문역.서대문형무소역사관,1167,126.9594644,37.57321269,1952786.076,952268.5221
65,100000073,서대문.서울시교육청,1168,126.9645273,37.56825381,1952233.352,952712.4649
66,100000075,독립문,1171,126.9615633,37.57117332,1952558.753,952452.5684
67,100000076,창덕궁.서울돈화문국악당,1172,126.9885394,37.57754057,1953251.861,954838.5941
68,100000077,무교동,1173,126.9802682,37.56924238,1952335.224,954103.1586
69,100000078,청계1가.광교,1174,126.9849267,37.56868439,1952271.053,954514.2083
70,100000079,청계2가.수표교,1175,126.9906742,37.56843718,1952240.86,955021.6212
71,100000080,청계4가.세운교,1176,126.9964906,37.56886912,1952286.013,955535.5256
72,100000081,청계5가.광장시장,1177,126.9997974,37.56945128,1952349.041,955827.8919
73,100000102,원남동,1198,126.9973383,37.57453251,1952913.938,955613.747
74,100000103,창덕궁.서울돈화문국악당,1199,126.9878777,37.57719464,1953213.8,954779.9571
75,100000104,안국역.종로경찰서.인사동,1200,126.9842426,37.5757849,1953059.152,954458.1195
76,100000105,조계사,1201,126.9832244,37.57236602,1952680.337,954366.1246
77,100000106,조계사,1202,126.9828259,37.57248581,1952693.821,954331.008
78,100000107,안국동,1203,126.9827201,37.57461057,1952929.604,954322.963
79,100000108,종로5가.효제동.김상옥의거터,1204,127.00223,37.5745,1952908.031,956045.6797
80,100000109,종로5가.효제초등학교,1205,127.0021442,37.57287901,1952728.23,956037.1504
81,100000116,종로5가,1212,127.0021827,37.5705596,1952470.885,956039.1868
82,100000117,청계6가.동대문시장,1213,127.0028494,37.56983511,1952390.195,956097.6363
83,100000118,동대문,1214,127.0084126,37.57172624,1952597.422,956590.012
84,100000119,충신동,1215,127.0062788,37.57402235,1952853.152,956402.9226
85,100000121,충신동,1217,127.0063434,37.57446028,1952901.708,956408.8823
86,100000122,현대그룹빌딩,1218,127.000533,37.575873,1953061.154,955896.6392
87,100000123,통신대(이화장),1219,127.002437,37.578043,1953301.013,956066.0402
88,100000124,혜화역.마로니에공원,1220,127.0022769,37.58111949,1953642.41,956053.7118
89,100000125,혜화역.서울대병원입구,1221,127.0019395,37.58106363,1953636.37,956023.8881
90,100000126,통신대(이화장),1222,127.0019938,37.57812967,1953310.836,956026.9571
91,100000127,이화동(이화장),1223,127.0006951,37.57611936,1953088.41,955911.0982
92,100000128,창경궁.서울대학교병원,1224,126.9968717,37.57882799,1953390.721,955575.0969
93,100000129,이화동(이화장),1225,127.0032708,37.57593729,1953067.005,956138.4286
94,100000130,혜화동로터리,1226,127.0007247,37.58576463,1954158.494,955919.399
95,100000131,명륜동2가.성균관대입구,1227,126.9993988,37.58333349,1953889.393,955800.8983
96,100000132,혜화역.서울연극센터(장면총리가옥),1228,127.0013282,37.58402281,1953964.964,955971.656
97,100000133,혜화역.동성중고(장면총리가옥),1229,127.0017177,37.58456977,1954025.464,956006.3676
98,100000135,종로구민회관.창신동두산아파트,1231,127.0155555,37.57409268,1952856.691,957222.1287
99,100000139,동묘역앞,1235,127.0156014,37.57168496,1952589.545,957224.8047
100,100000140,동묘역앞,1236,127.0158879,37.57189848,1952613.104,957250.2265
101,100000142,창신3동주민센터,1238,127.015178,37.578413,1953336.181,957191.2675
102,100000143,숭인1동주민센터,1239,127.0155486,37.57877205,1953375.847,957224.1963
103,100000144,동묘역.롯데캐슬천지인,1240,127.0158024,37.57418005,1952866.272,957243.9807
104,100000147,신설동로터리,1243,127.0227802,37.57592883,1953057.138,957861.1294
105,100000150,구기동현대빌라,1246,126.956622,37.609682,1956833.635,952040.9336
106,100000151,광장시장,1247,126.9977438,37.56949631,1952355.004,955646.5672
107,100000153,혜화경찰서,1249,126.9974788,37.57258074,1952697.332,955624.9954
108,100000154,서울역사박물관.김구집무실(경교장),1250,126.9721318,37.56990034,1952412.227,953385.0486
109,100000155,청계3가.관수교,1251,126.9937794,37.56868879,1952267.293,955295.9925
110,100000156,청계6가.버들다리,1252,127.0080377,37.56993039,1952398.354,956555.8629
111,100000157,청계7가.맑은내다리,1253,127.0129554,37.56999753,1952403.541,956990.1758
112,100000158,청계8가.영도교,1254,127.0182311,37.57094659,1952506.433,957456.6038
113,100000159,원남동사거리,1256,126.9982147,37.57572287,1953045.589,955691.8411
114,100000165,숭인동,1262,127.0204373,37.57427215,1952874.391,957653.3102
115,100000169,조계사,1267,126.9831609,37.57280034,1952728.554,954360.7822
116,100000174,세종문화회관,1272,126.9763658,37.57333352,1952791.03,953761.0697
117,100000179,이화동(이화장),1277,127.002955,37.576257,1953102.623,956110.7307
118,100000180,상명대정문,1278,126.9550207,37.60161972,1955939.977,951894.4083
119,100000181,이북오도청,1279,126.9558883,37.61305032,1957207.712,951978.342
120,100000188,상명대입구.세검정교회,1286,126.9597922,37.59944351,1955696.102,952314.2052
121,100000189,상명대입구.석파랑,1287,126.9581941,37.59957181,1955711.149,952173.2171
122,100000190,종로중부새마을금고,1288,127.0065911,37.57241749,1952674.956,956429.5648
123,100000191,신설동로터리.신한은행앞.서울풍물시장,1289,127.0231183,37.5743861,1952885.828,957890.1153
