,Unnamed: 0,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),점포구분명,X_modified,Y_modified
0,48,3010000,2.0123e+18,19791227,,1,영업/정상,1,정상영업,,,,19971227.0,02-772-3871,59979.25,,,서울특별시 중구 남대문로 81 (소공동),100721.0,롯데백화점 본점,20170800000000.0,I,2018.8.31 23:59,백화점,198259.6536,451392.1982,대규모점포,1951844.4621736484,953917.7425304065
1,75,3010000,2.0053e+18,19731030,,1,영업/정상,1,정상영업,,,,,02 7712500,13877.55,,서울특별시 중구 남대문로2가 123호,서울특별시 중구 남대문로 67 (남대문로2가),,롯데쇼핑본점영플라자,20200400000000.0,U,2020.5.2 2:40,백화점,198315.5327,451248.1416,대규모점포,1951700.1646796213,953972.8312540945
2,107,3020000,2.0063e+18,20060825,,1,영업/정상,1,정상영업,,,,,02)2012-0101,17898.53,,서울특별시 용산구 한강로3가 40번지 999호,서울특별시 용산구 한강대로23길 55 (한강로3가),140780.0,아이파크(I PARK)백화점,20190700000000.0,U,2019.7.19 2:40,백화점,196762.0774,447480.0396,대규모점포,1947941.834086586,952399.9035521937
3,126,3030000,2.0053e+18,20050331,,1,영업/정상,1,정상영업,,,,,02-3408-1234,17318.0,133120.0,서울특별시 성동구 성수동2가 333번지 16호,서울특별시 뚝섬로 379,133120.0,(주)이마트 성수점,20200500000000.0,U,2020.5.3 2:40,백화점,204614.2727,448607.4413,대규모점포,1949026.9398947011,960254.9751376705
4,166,3040000,2.0083e+18,20080822,,1,영업/정상,1,정상영업,,,,,0002 22182802,26203.17,143003.0,서울특별시 광진구 자양동 227번지 342호 롯데백화점 스타시티점,서울특별시 광진구 능동로 92 (자양동),143854.0,롯데백화점 건대스타시티점,20180700000000.0,I,2018.8.31 23:59,백화점,206217.4347,448506.2187,대규모점포,1948917.2138297772,961856.9499623685
5,178,3050000,2.01031e+18,20100723,,1,영업/정상,1,정상영업,,,,,237072903,40346.6,130851.0,서울특별시 동대문구 전농1동 591번지 53호,서울특별시 동대문구 왕산로 214 (전농동),130851.0,롯데백화점 청량리역사점,20170700000000.0,I,2018.8.31 23:59,백화점,204081.2821,453187.3952,대규모점포,1953607.8903336488,959746.6207896504
6,266,3070000,2.00131e+18,20010811,,1,영업/정상,1,정상영업,,,,,02  21173014,36583.0,,서울특별시 성북구 길음동 20번지 1호,서울특별시 성북구 동소문로 315 (길음동 현대백화점미아점),136719.0,현대백화점 미아점,20200400000000.0,U,2020.4.24 2:40,백화점,202466.8011,456227.5717,대규모점포,1956655.4606637498,958149.0121530693
7,307,3080000,2.00631e+18,20061214,,1,영업/정상,1,정상영업,,,,,02   9442500,45651.37,,서울특별시 강북구 미아동 70번지 6   호,서울특별시 강북구 도봉로 62 (미아동),142804.0,롯데백화점 미아점,20170400000000.0,I,2018.8.31 23:59,백화점,202625.6463,456875.974,대규모점포,1957302.7549014518,958311.2551073206
8,350,3100000,2.00531e+18,20050826,,1,영업/정상,1,정상영업,,,,,02950 2500,48227.17,,서울특별시 노원구 상계동 713호,서울특별시 노원구 동일로 1414 (상계동),139708.0,롯데백화점 노원점,20200500000000.0,U,2020.5.24 2:40,백화점,205320.2848,461419.8818,대규모점포,1961830.4401634089,961029.07870955
9,352,3100000,2.00731e+18,20070419,,1,영업/정상,1,정상영업,,,,,02 9719000,10292.0,,서울특별시 노원구 중계동 506번지 1   호,,,건영옴니백화점,20150300000000.0,I,2018.8.31 23:59,백화점,205645.892,459609.0125,대규모점포,1960018.5635059082,961344.8793525785
